	icd9_code	short_title	long_title	count
3929	8671	Bladder/urethra inj-open	Injury to bladder and urethra, with open wound into cavity	4
3930	1716	Mal neo soft tis pelvis	Malignant neoplasm of connective and other soft tissue of pelvis	4
3931	80031	Cl skull vlt fx w/o coma	Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness	4
3932	28801	Congenital neutropenia	Congenital neutropenia	4
3933	80227	Fx alveolar bord mand-cl	Closed fracture of mandible, alveolar border of body	4
3934	463	Acute tonsillitis	Acute tonsillitis	4
3935	76389	Compl del NEC aff NB	Other specified complications of labor and delivery affecting fetus or newborn	4
3936	V188	Fm hx-infect/parasit dis	Family history of infectious and parasitic diseases	4
3937	80036	Cl skull vlt fx-coma NOS	Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration	4
3938	76711	Epicranial subapo hemorr	Epicranial subaponeurotic hemorrhage (massive)	4
3939	1648	Mal neo mediastinum NEC	Malignant neoplasm of other parts of mediastinum	4
3940	7012	Acq acanthosis nigricans	Acquired acanthosis nigricans	4
3941	1642	Mal neo ant mediastinum	Malignant neoplasm of anterior mediastinum	4
3942	V175	Family hx-asthma	Family history of asthma	4
3943	1110	Pityriasis versicolor	Pityriasis versicolor	4
3944	9585	Traumatic anuria	Traumatic anuria	4
3945	V074	Hormone replace postmeno	Hormone replacement therapy (postmenopausal)	4
3946	71594	Osteoarthros NOS-hand	Osteoarthrosis, unspecified whether generalized or localized, hand	4
3947	80175	Op skl base fx-deep coma	Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level	4
3948	118	Opportunistic mycoses	Opportunistic mycoses	4
3949	80172	Opn skl base fx-brf coma	Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness	4
3950	37716	Hereditary optic atrophy	Hereditary optic atrophy	4
3951	1209	Schistosomiasis NOS	Schistosomiasis, unspecified	4
3952	V1559	Hx injury NEC	Personal history of other injury	4
3953	V155			4
3954	1535	Malignant neo appendix	Malignant neoplasm of appendix vermiformis	4
3955	86512	Spleen capsular tear-opn	Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma	4
3956	V1029	Hx-intrathoracic mal NEC	Personal history of malignant neoplasm of other respiratory and intrathoracic organs	4
3957	1528	Mal neo small bowel NEC	Malignant neoplasm of other specified sites of small intestine	4
3958	1309	Toxoplasmosis NOS	Toxoplasmosis, unspecified	4
3959	37700	Papilledema NOS	Papilledema, unspecified	4
3960	1370	Late effect tb, resp/NOS	Late effects of respiratory or unspecified tuberculosis	4
3961	V1309	Prsn hst ot spf urn dsrd	Personal history of other specified urinary system disorders	4
3962	1419	Malig neo tongue NOS	Malignant neoplasm of tongue, unspecified	4
3963	8872	Amput abv elbow, unilat	Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, without mention of complication	4
3964	V1090	Hx malig neoplasm NOS	Personal history of unspecified malignant neoplasm	4
3965	37632	Orbital hemorrhage	Orbital hemorrhage	4
3966	7420	Encephalocele	Encephalocele	4
3967	1440	Mal neo ant floor mouth	Malignant neoplasm of anterior portion of floor of mouth	4
3968	75839	Autosomal deletions NEC	Other autosomal deletions	4
3969	72813	Postop heterotopic calc	Postoperative heterotopic calcification	4
3970	86409	Liver injury NEC-closed	Other injury to liver without mention of open wound into cavity	4
3971	8870	Amput below elb, unilat	Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, without mention of complication	4
3972	7582	Edwards' syndrome	Edwards' syndrome	4
3973	6079	Disorder of penis NOS	Unspecified disorder of penis	4
3974	3222	Chronic meningitis	Chronic meningitis	4
3975	86381	Pancreas, head inj-close	Injury to pancreas, head, without mention of open wound into cavity	4
3976	8831	Open wound finger-compl	Open wound of finger(s), complicated	4
3977	9180	Superfic inj periocular	Superficial injury of eyelids and periocular area	4
3978	86352	Transverse colon inj-opn	Injury to transverse colon, with open wound into cavity	4
3979	86350	Colon injury NOS-open	Injury to colon, unspecified site, with open wound into cavity	4
3980	V7281	Preop cardiovsclr exam	Pre-operative cardiovascular examination	4
3981	2823	Enzyme defic anemia NEC	Other hemolytic anemias due to enzyme deficiency	4
3982	7792	Cns dysfunction syn NB	Cerebral depression, coma, and other abnormal cerebral signs in fetus or newborn	4
3983	67404	Cerebrovasc dis-postpart	Cerebrovascular disorders in the puerperium, postpartum condition or complication	4
3984	86342	Transverse colon inj-cl	Injury to transverse colon, without mention of open wound into cavity	4
3985	9685	Surfce-topic/infilt anes	Surface (topical) and infiltration anesthetics	4
3986	30303	Ac alcohol intox-remiss	Acute alcoholic intoxication in alcoholism, in remission	4
3987	86320	Small intest inj NOS-cl	Injury to small intestine, unspecified site, without open wound into cavity	4
3988	2776	Defic circul enzyme NEC	Other deficiencies of circulating enzymes	4
3989	9695	Poison-tranquilizer NEC	Poisoning by other tranquilizers	4
3990	0085	Bacterial enteritis NOS	Bacterial enteritis, unspecified	4
3991	78002	Trans alter awareness	Transient alteration of awareness	4
3992	7570	Hereditary edema of legs	Hereditary edema of legs	4
3993	51636	Cryptogenic organiz pneu	Cryptogenic organizing pneumonia	4
3994	6185	Postop vaginal prolapse	Prolapse of vaginal vault after hysterectomy	4
3995	32742	REM sleep behavior dis	REM sleep behavior disorder	4
3996	86120	Lung injury NOS-closed	Unspecified injury of lung without mention of open wound into thorax	4
3997	27411	Uric acid nephrolithias	Uric acid nephrolithiasis	4
3998	53450	Chr marginal ulc w perf	Chronic or unspecified gastrojejunal ulcer with perforation, without mention of obstruction	4
3999	7564	Chondrodystrophy	Chondrodystrophy	4
4000	3321	Secondary parkinsonism	Secondary parkinsonism	4
4001	88121	Opn wound elbow w tendon	Open wound of elbow, with tendon involvement	4
4002	3334	Huntington's chorea	Huntington's chorea	4
4003	3337			4
4004	53570	Eosinophil gastrt wo hem	Eosinophilic gastritis, without mention of hemorrhage	4
4005	2730	Polyclon hypergammaglobu	Polyclonal hypergammaglobulinemia	4
4006	9779	Poison-medicinal agt NOS	Poisoning by unspecified drug or medicinal substance	4
4007	7683	Fetal distrs dur lab/del	Fetal distress first noted during labor and delivery, in liveborn infant	4
4008	75617	Spina bifida occulta	Spina bifida occulta	4
4009	30430	Cannabis depend-unspec	Cannabis dependence, unspecified	4
4010	60499	Orchitis/epididymit NEC	Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess	4
4011	75616	Klippel-feil syndrome	Klippel-Feil syndrome	4
4012	98989	Tox eff nonmed subst NEC	Toxic effect of other substance, chiefly nonmedicinal as to source, not elsewhere classified	4
4013	69282	Dermatitis oth radiation	Dermatitis due to other radiation	4
4014	29389	Transient mental dis NEC	Other specified transient mental disorders due to conditions classified elsewhere, other	4
4015	88001	Open wound of scapula	Open wound of scapular region, without mention of complication	4
4016	44621	Goodpasture's syndrome	Goodpasture's syndrome	4
4017	6190	Urin-genital fistul, fem	Urinary-genital tract fistula, female	4
4018	33391	Stiff-man syndrome	Stiff-man syndrome	4
4019	3340	Friedreich's ataxia	Friedreich's ataxia	4
4020	78064	Chills (without fever)	Chills (without fever)	4
4021	3342	Primary cerebellar degen	Primary cerebellar degeneration	4
4022	9228	Multiple contusion trunk	Contusion of multiple sites of trunk	4
4023	85240	Traumatic extradural hem	Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	4
4024	99581	Adult physical abuse	Adult physical abuse	4
4025	7809			4
4026	85224	Subdural hem-prolng coma	Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level	4
4027	75567	Anomalies of foot NEC	Anomalies of foot, not elsewhere classified	4
4028	2652	Pellagra	Pellagra	4
4029	2599	Endocrine disorder NOS	Unspecified endocrine disorder	4
4030	6802	Carbuncle of trunk	Carbuncle and furuncle of trunk	4
4031	2592	Carcinoid syndrome	Carcinoid syndrome	4
4032	4421	Renal artery aneurysm	Aneurysm of renal artery	4
4033	25801	Mult endo neoplas type I	Multiple endocrine neoplasia [MEN] type I	4
4034	2552	Adrenogenital disorders	Adrenogenital disorders	4
4035	99645	Periprosthetc osteolysis	Peri-prosthetic osteolysis	4
4036	99647	Mech com pros jt implant	Other mechanical complication of prosthetic joint implant	4
4037	8797	Open wnd trunk NEC-compl	Open wound of other and unspecified parts of trunk, complicated	4
4038	99653	Lens prosthesis malfunc	Mechanical complication due to ocular lens prosthesis	4
4039	6926	Dermatitis due to plant	Contact dermatitis and other eczema due to plants [except food]	4
4040	9041	Inj superfic femoral art	Injury to superficial femoral artery	4
4041	92320	Contusion of hand(s)	Contusion of hand(s)	4
4042	53989	Ot comp ot bariatrc proc	Other complications of other bariatric procedure	4
4043	25031	DMI o cm nt st uncntrld	Diabetes with other coma, type I [juvenile type], not stated as uncontrolled	4
4044	75479	Cong foot deform NEC	Other deformities of feet	4
4045	25021	DMI hprsm nt st uncntrld	Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled	4
4046	34120	Acute myelitis NOS	Acute (transverse) myelitis NOS	4
4047	24981	Sec DM other uncontrld	Secondary diabetes mellitus with other specified manifestations, uncontrolled	4
4048	8500	Concussion w/o coma	Concussion with no loss of consciousness	4
4049	8795	Opn wnd lat abdomen-comp	Open wound of abdominal wall, lateral, complicated	4
4050	99684	Compl lung transplant	Complications of transplanted lung	4
4051	2462	Cyst of thyroid	Cyst of thyroid	4
4052	8471	Sprain thoracic region	Sprain of thoracic	4
4053	99688	Comp tp organ-stem cell	Complications of transplanted organ, stem cell	4
4054	7822	Local suprficial swellng	Localized superficial swelling, mass, or lump	4
4055	84503	Sprain distal tibiofibul	Sprain of tibiofibular (ligament), distal of ankle	4
4056	92420	Contusion of foot	Contusion of foot	4
4057	6023	Dysplasia of prostate	Dysplasia of prostate	4
4058	8448	Sprain of knee & leg NEC	Sprains and strains of other specified sites of knee and leg	4
4059	8442	Sprain cruciate lig knee	Sprain of cruciate ligament of knee	4
4060	2386	Plasmacytoma NOS	Neoplasm of uncertain behavior of plasma cells	4
4061	6923	Topical med dermatitis	Contact dermatitis and other eczema due to drugs and medicines in contact with skin	4
4062	3431	Congenital hemiplegia	Congenital hemiplegia	4
4063	2376	Unc behav neo meninges	Neoplasm of uncertain behavior of meninges	4
4064	2370	Unc behav neo pituitary	Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct	4
4065	2367	Unc behav neo bladder	Neoplasm of uncertain behavior of bladder	4
4066	2354	Unc behav neo peritoneum	Neoplasm of uncertain behavior of retroperitoneum and peritoneum	4
4067	2339	Ca in situ urinary NEC	Carcinoma in situ of other and unspecified urinary organs	4
4068	7538	Cystourethral anom NEC	Other specified anomalies of bladder and urethra	4
4069	500	Coal workers' pneumocon	Coal workers' pneumoconiosis	4
4070	0093	Diarrhea of infect orig	Diarrhea of presumed infectious origin	4
4071	7628	Abn amnion NEC aff NB	Other specified abnormalities of chorion and amnion affecting fetus or newborn	4
4072	92710	Crushing injury forearm	Crushing injury of forearm	4
4073	3442	Diplegia of upper limbs	Diplegia of upper limbs	4
4074	7627	Chorioamnionitis aff NB	Chorioamnionitis affecting fetus or newborn	4
4075	71942	Joint pain-up/arm	Pain in joint, upper arm	4
4076	7841	Throat pain	Throat pain	4
4077	42760	Premature beats NOS	Premature beats, unspecified	4
4078	42742	Ventricular flutter	Ventricular flutter	4
4079	71940	Joint pain-unspec	Pain in joint, site unspecified	4
4080	42650	Bundle branch block NOS	Bundle branch block, unspecified	4
4081	9273	Crushing injury finger	Crushing injury of finger(s)	4
4082	75269	Penile anomalies NEC	Other penile anomalies	4
4083	42293	Toxic myocarditis	Toxic myocarditis	4
4084	5518	Hernia, site NEC w gangr	Hernia of other specified sites, with gangrene	4
4085	78492	Jaw pain	Jaw pain	4
4086	8243	Fx lateral malleolus-opn	Fracture of lateral malleolus, open	4
4087	4220	Ac myocardit in oth dis	Acute myocarditis in diseases classified elsewhere	4
4088	73001	Ac osteomyelitis-shlder	Acute osteomyelitis, shoulder region	4
4089	82390	Fx tibia NOS-open	Open fracture of unspecified part of tibia alone	4
4090	72704	Radial styloid tenosynov	Radial styloid tenosynovitis	4
4091	67323	Pulm embol NOS-antepart	Obstetrical blood-clot embolism, antepartum condition or complication	4
4092	73004	Ac osteomyelitis-hand	Acute osteomyelitis, hand	4
4093	E8123	Mv coll NOS-mcycl psngr	Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger on motorcycle	4
4094	9081	Late eff int inj abdomen	Late effect of internal injury to intra-abdominal organs	4
4095	8751	Open wound chest-compl	Open wound of chest (wall), complicated	4
4096	71907	Joint effusion-ankle	Effusion of joint, ankle and foot	4
4097	2281	Lymphangioma, any site	Lymphangioma, any site	4
4098	5269	Jaw disease NOS	Unspecified disease of the jaws	4
4099	E8141	Mv coll w pedest-pasngr	Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle	4
4100	78602	Orthopnea	Orthopnea	4
4101	59984	Oth spcf dsdr urethra	Other specified disorders of urethra	4
4102	E8146	Mv coll w ped-ped cycl	Motor vehicle traffic accident involving collision with pedestrian injuring pedal cyclist	4
4103	3552	Femoral nerve lesion NEC	Other lesion of femoral nerve	4
4104	8749	Opn wound neck NEC-compl	Open wound of other and unspecified parts of neck, complicated	4
4105	82139	Fx low end femur NEC-opn	Other open fracture of lower end of femur	4
4106	3573	Neuropathy in malig dis	Polyneuropathy in malignant disease	4
4107	75160	Biliary & liver anom NOS	Unspecified anomaly of gallbladder, bile ducts, and liver	4
4108	5539	Hernia NOS	Hernia of unspecified site without mention of obstruction or gangrene	4
4109	2167	Benign neo skin leg	Benign neoplasm of skin of lower limb, including hip	4
4110	82110	Fx femur NOS-open	Open fracture of unspecified part of femur	4
4111	40492	Hy ht/kd NOS st V w/o hf	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease	4
4112	40401	Mal hyp ht/kd I-IV w hf	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	4
4113	29211	Drug psych disor w delus	Drug-induced psychotic disorder with delusions	4
4114	7712	Congenital infec NEC	Other congenital infections specific to the perinatal period	4
4115	5560	Ulcerative enterocolitis	Ulcerative (chronic) enterocolitis	4
4116	2155	Ben neo soft tis abdomen	Other benign neoplasm of connective and other soft tissue of abdomen	4
4117	40201	Mal hypert hrt dis w hf	Malignant hypertensive heart disease with heart failure	4
4118	E8241	N-traf board/alight-psgr	Other motor vehicle nontraffic accident while boarding and alighting injuring passenger in motor vehicle other than motorcycle	4
4119	81612	Fx distal phal, hand-opn	Open fracture of distal phalanx or phalanges of hand	4
4120	29012	Presenile delusion	Presenile dementia with delusional features	4
4121	E8250	Mv n-traff acc NEC-driv	Other motor vehicle nontraffic accident of other and unspecified nature injuring driver of motor vehicle other than motorcycle	4
4122	E8251	Mv n-traff NEC/NOS-psgr	Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle	4
4123	E8252	Mv n-traf acc NEC-mocycl	Other motor vehicle nontraffic accident of other and unspecified nature injuring motorcyclist	4
4124	7509	Upper GI anomaly NOS	Unspecified anomaly of upper alimentary tract	4
4125	E8298	Oth rd veh acc-pers NEC	Other road vehicle accidents injuring other specified person	4
4126	78724	Dysphagia,pharyngoesoph	Dysphagia, pharyngoesophageal phase	4
4127	3949	Mitral valve dis NEC/NOS	Other and unspecified mitral valve diseases	4
4128	73022	Osteomyelitis NOS-up/arm	Unspecified osteomyelitis, upper arm	4
4129	71901	Joint effusion-shlder	Effusion of joint, shoulder region	4
4130	7068	Sebaceous gland dis NEC	Other specified diseases of sebaceous glands	4
4131	64254	Sev preeclamp-postpartum	Severe pre-eclampsia, postpartum condition or complication	4
4132	2141	Lipoma skin NEC	Lipoma of other skin and subcutaneous tissue	4
4133	71888	Jt derangment NEC-oth jt	Other joint derangement, not elsewhere classified, other specified sites	4
4134	29699	Episodic mood disord NEC	Other specified episodic mood disorder	4
4135	71887	Jt derangement NEC-ankle	Other joint derangement, not elsewhere classified, ankle and foot	4
4136	74920	Cleft palate & lip NOS	Cleft palate with cleft lip, unspecified	4
4137	E8503	Acc poison-salicylates	Accidental poisoning by salicylates	4
4138	2118	Ben neo peritoneum	Benign neoplasm of retroperitoneum and peritoneum	4
4139	9390	FB bladder & urethra	Foreign body in bladder and urethra	4
4140	9392	Foreign bdy vulva/vagina	Foreign body in vulva and vagina	4
4141	9029	Inj abdominal vessel NOS	Injury to unspecified blood vessel of abdomen and pelvis	4
4142	5564	Pseudopolyposis colon	Pseudopolyposis of colon	4
4143	36206	Sev nonprolf db retinoph	Severe nonproliferative diabetic retinopathy	4
4144	E8582	Acc poison-blood agent	Accidental poisoning by agents primarily affecting blood constituents	4
4145	81318	Fx up radius w ulna-open	Open fracture of radius with ulna, upper end (any part)	4
4146	94204	Burn NOS back	Burn of unspecified degree of back [any part]	4
4147	73088	Bone infect NEC-oth site	Other infections involving bone in diseases classified elsewhere, other specified sites	4
4148	3888	Disorders of ear NEC	Other disorders of ear	4
4149	29644	Bipol I manic-sev w psy	Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior	4
4150	59589	Cystitis NEC	Other specified types of cystitis	4
4151	30580	Antidepress abuse-unspec	Antidepressant type abuse, unspecified	4
4152	7484	Congenital cystic lung	Congenital cystic lung	4
4153	81242	Fx humer, lat condyl-cl	Closed fracture of lateral condyle of humerus	4
4154	47821	Cellulitis of pharynx	Cellulitis of pharynx or nasopharynx	4
4155	E8710	Post-surgical forgn body	Foreign object left in body during surgical operation	4
4156	81241	Suprcondyl fx humerus-cl	Closed supracondylar fracture of humerus	4
4157	E8716	FB post heart catheter	Foreign object left in body during heart catheterization	4
4158	71849	Jt contracture-mult jts	Contracture of joint, multiple sites	4
4159	5952	Chronic cystitis NEC	Other chronic cystitis	4
4160	7480	Choanal atresia	Choanal atresia	4
4161	7273	Bursitis NEC	Other bursitis	4
4162	64803	Diabetes-antepartum	Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication	4
4163	87353	Open wound lip-complicat	Open wound of lip, complicated	4
4164	6173	Pelv perit endometriosis	Endometriosis of pelvic peritoneum	4
4165	V8521	BMI 25.0-25.9,adult	Body Mass Index 25.0-25.9, adult	4
4166	56201	Dvrtcli sml int w/o hmrg	Diverticulitis of small intestine (without mention of hemorrhage)	4
4167	64903	Tobacco use dis-antepart	Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication	4
4168	78933	Abdmnal mass rt lwr quad	Abdominal or pelvic swelling, mass, or lump, right lower quadrant	4
4169	7475	Umbilical artery absence	Absence or hypoplasia of umbilical artery	4
4170	80851	Fracture of ilium-open	Open fracture of ilium	4
4171	74741	Tot anom pulm ven connec	Total anomalous pulmonary venous connection	4
4172	20402	Act lymp leuk in relapse	Acute lymphoid leukemia, in relapse	4
4173	66401	Del w 1 deg lacerat-del	First-degree perineal laceration, delivered, with or without mention of antepartum condition	4
4174	72283	Postlaminect synd-lumbar	Postlaminectomy syndrome, lumbar region	4
4175	66331	Cord entangle NEC-deliv	Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition	4
4176	8081	Fracture acetabulum-open	Open fracture of acetabulum	4
4177	90287	Inj mult abd/pelv vessel	Injury to multiple blood vessels of abdomen and pelvis	4
4178	E8853	Fall from skis	Fall from skis	4
4179	5643	Vomiting post-gi surgery	Vomiting following gastrointestinal surgery	4
4180	87261	Open wound of ear drum	Open wound of ear drum, without mention of complication	4
4181	04105	Streptococcus group g	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G	4
4182	65951	Elderly primigravida-del	Elderly primigravida, delivered, with or without mention of antepartum condition	4
4183	3671	Myopia	Myopia	4
4184	65221	Breech presentat-deliver	Breech presentation without mention of version, delivered, with or without mention of antepartum condition	4
4185	6948	Bullous dermatoses NEC	Other specified bullous dermatoses	4
4186	59382	Ureteral fistula	Ureteral fistula	4
4187	E9018	Excessive cold NEC	Accident due to excessive cold of other specified origin	4
4188	V6142	Substance abuse-family	Substance abuse in family	4
4189	80624	T1-t6 fx-cl/cord inj NEC	Closed fracture of T1-T6 level with other specified spinal cord injury	4
4190	7083	Dermatographic urticaria	Dermatographic urticaria	4
4191	20208	Nodular lymphoma mult	Nodular lymphoma, lymph nodes of multiple sites	4
4192	3814	Nonsupp otitis media NOS	Nonsuppurative otitis media, not specified as acute or chronic	4
4193	01894	Miliary TB NOS-cult dx	Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	4
4194	80607	C5-c7 fx-cl/ant cord syn	Closed fracture of C5-C7 level with anterior cord syndrome	4
4195	V5881	Fit/adj vascular cathetr	Fitting and adjustment of vascular catheter	4
4196	E9178	Stat obj w sub fall NEC	Striking against or struck accidentally by other stationary object with subsequent fall	4
4197	V872	Cont/exp hazard chem NEC	Contact with and (suspected) exposure to other potentially hazardous chemicals	4
4198	74681	Cong subaortic stenosis	Subaortic stenosis	4
4199	0272	Pasteurellosis	Pasteurellosis	4
4200	30789	Psychogenic pain NEC	Other pain disorders related to psychological factors	4
4201	20158	Hodg nodul sclero mult	Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites	4
4202	6082			4
4203	71831	Recur dislocat-shlder	Recurrent dislocation of joint, shoulder region	4
4204	8690	Internal inj NOS-closed	Internal injury to unspecified or ill-defined organs without mention of open wound into cavity	4
4205	0319	Mycobacterial dis NOS	Unspecified diseases due to mycobacteria	4
4206	E9241	Accid-caustic substance	Accident caused by caustic and corrosive substances	4
4207	7920	Abn fnd-cerebrospinal fl	Nonspecific abnormal findings in cerebrospinal fluid	4
4208	30015	Dissociative react NOS	Dissociative disorder or reaction, unspecified	4
4209	71481	Rheumatoid lung	Rheumatoid lung	4
4210	71489	Inflamm polyarthrop NEC	Other specified inflammatory polyarthropathies	4
4211	7932	Nonsp abn intrathor NEC	Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs	4
4212	37999	Ill-defined eye dis NEC	Other ill-defined disorders of eye	4
4213	90254	Injury iliac vein	Injury to iliac vein	4
4214	6272	Sympt fem climact state	Symptomatic menopausal or female climacteric states	4
4215	71500	General osteoarthrosis	Osteoarthrosis, generalized, site unspecified	4
4216	E9303	Adv eff erythromycin	Erythromycin and other macrolides causing adverse effects in therapeutic use	4
4217	86819	Intra-abdom inj NEC-open	Injury to other and multiple intra-abdominal organs, with open wound into cavity	4
4218	20023	Burkitt's tumor abdom	Burkitt's tumor or lymphoma, intra-abdominal lymph nodes	4
4219	03841	H. influenae septicemia	Septicemia due to hemophilus influenzae [H. influenzae]	4
4220	V549	Orthopedic aftercare NOS	Unspecified orthopedic aftercare	4
4221	7466	Cong mitral insufficienc	Congenital mitral insufficiency	4
4222	86812	Biliary tract injury-opn	Injury to other intra-abdominal organs with open wound into cavity, bile duct and gallbladder	4
4223	37992	Swelling or mass of eye	Swelling or mass of eye	4
4224	6861	Pyogenic granuloma	Pyogenic granuloma of skin and subcutaneous tissue	4
4225	86810	Intra-abdom inj NOS-open	Injury to other intra-abdominal organs with open wound into cavity, unspecified intra-abdominal organ	4
4226	7942	Abn pulmonary func study	Nonspecific abnormal results of pulmonary function study	4
4227	1958	Malig neo site NEC	Malignant neoplasm of other specified sites	4
4228	04103	Streptococcus group c	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C	4
4229	52511	Loss of teeth d/t trauma	Loss of teeth due to trauma	3
4230	76505	Extreme immat 1250-1499g	Extreme immaturity, 1,250-1,499 grams	3
4231	9039	Injury arm vessel NOS	Injury to unspecified blood vessel of upper extremity	3
4232	9040	Inj common femoral arter	Injury to common femoral artery	3
4233	01300	TB meningitis-unspec	Tuberculous meningitis, unspecified	3
4234	90451	Inj anter tibial artery	Injury to anterior tibial artery	3
4235	61179	Symptoms in breast NEC	Other signs and symptoms in breast	3
4236	52469	Other specf TMJ disordrs	Other specified temporomandibular joint disorders	3
4237	52410	Unspcf anm jaw cranl bse	Anomalies of relationship of jaw to cranial base, unspecified anomaly	3
4238	64761	Oth viral dis-delivered	Other viral diseases in the mother, delivered, with or without mention of antepartum condition	3
4239	63491	Spon abort uncompl-inc	Spontaneous abortion, without mention of complication, incomplete	3
4240	9068	Late effect of burns NEC	Late effect of burns of other specified sites	3
4241	9080	Late eff int injur chest	Late effect of internal injury to chest	3
4242	9086	Late eff complic trauma	Late effect of certain complications of trauma	3
4243	5233			3
4244	29600	Bipol I single manic NOS	Bipolar I disorder, single manic episode, unspecified	3
4245	9094	Late eff cert ext cause	Late effect of certain other external causes	3
4246	9099	Late eff exter cause NEC	Late effect of other and unspecified external causes	3
4247	5226	Chr apical periodontitis	Chronic apical periodontitis	3
4248	29580	Schizophrenia NEC-unspec	Other specified types of schizophrenia, unspecified	3
4249	9142	Blister hand	Blister of hand(s) except finger(s) alone, without mention of infection	3
4250	64683	Preg compl NEC-antepart	Other specified complications of pregnancy, antepartum condition or complication	3
4251	63411	Spon abort w hemorr-inc	Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete	3
4252	7685	Severe birth asphyxia	Severe birth asphyxia	3
4253	9220	Contusion of breast	Contusion of breast	3
4254	9224	Contusion genital organs	Contusion of genital organs	3
4255	29383	Mood disorder other dis	Mood disorder in conditions classified elsewhere	3
4256	69510	Erythema multiforme NOS	Erythema multiforme, unspecified	3
4257	51284	Other air leak	Other air leak	3
4258	92310	Contusion of forearm	Contusion of forearm	3
4259	92311	Contusion of elbow	Contusion of elbow	3
4260	77016	Blood asp w resp sympt	Aspiration of blood with respiratory symptoms	3
4261	77018	NB asp w resp symp NEC	Other fetal and newborn aspiration with respiratory symptoms	3
4262	29289	Drug mental disorder NEC	Other specified drug-induced mental disorders	3
4263	92421	Contusion of ankle	Contusion of ankle	3
4264	4958	Allerg alveol/pneum NEC	Other specified allergic alveolitis and pneumonitis	3
4265	92820	Crushing injury foot	Crushing injury of foot	3
4266	48801	Flu dt iden avian w pneu	Influenza due to identified avian influenza virus with pneumonia	3
4267	7711	Cong cytomegalovirus inf	Congenital cytomegalovirus infection	3
4268	932	Foreign body in nose	Foreign body in nose	3
4269	28952	Splenic sequestration	Splenic sequestration	3
4270	4848	Pneum in infect dis NEC	Pneumonia in other infectious diseases classified elsewhere	3
4271	938	Foreign body GI NOS	Foreign body in digestive system, unspecified	3
4272	67403	Cerebrovasc dis-antepart	Cerebrovascular disorders in the puerperium, antepartum condition or complication	3
4273	94214	1st deg burn back	Erythema [first degree] of back [any part]	3
4274	47820	Disease of pharynx NOS	Unspecified disease of pharynx	3
4275	4770	Rhinitis due to pollen	Allergic rhinitis due to pollen	3
4276	72742	Ganglion of tendon	Ganglion of tendon sheath	3
4277	72743	Ganglion NOS	Ganglion, unspecified	3
4278	47411	Hypertrophy tonsils	Hypertrophy of tonsils alone	3
4279	77439	Delay conjugat jaund NEC	Other neonatal jaundice due to delayed conjugation from other causes	3
4280	9513	Injury abducens nerve	Injury to abducens nerve	3
4281	72781	Contracture of tendon	Contracture of tendon (sheath)	3
4282	95209	C5-c7 spin cord inj NEC	C5-C7 level with other specified spinal cord injury	3
4283	95214	T1-t6 spin cord inj NEC	T1-T6 level with other specified spinal cord injury	3
4284	4719	Nasal polyp NOS	Unspecified nasal polyp	3
4285	4710	Polyp of nasal cavity	Polyp of nasal cavity	3
4286	7759	Transient met dis NB NOS	Unspecified endocrine and metabolic disturbances specific to the fetus and newborn	3
4287	72789	Synov/tend/bursa dis NEC	Other disorders of synovium, tendon, and bursa	3
4288	2881	Function dis neutrophils	Functional disorders of polymorphonuclear neutrophils	3
4289	7762	Dissem intravasc coag NB	Disseminated intravascular coagulation in newborn	3
